"location_fips_code","location_name","location_type","population","state","county","metro"
"0","United States","National",331097593,"","",""
"06","California","State",39356104,"California","",""
"48","Texas","State",29243342,"Texas","",""
"12","Florida","State",21634529,"Florida","",""
"36","New York","State",19994379,"New York","",""
"35620","New York-Newark-Jersey City, NY-NJ-PA","Metro",19908595,"","","New York-Newark-Jersey City, NY-NJ-PA"
"31080","Los Angeles-Long Beach-Anaheim, CA","Metro",13111917,"","","Los Angeles-Long Beach-Anaheim, CA"
"42","Pennsylvania","State",12989208,"Pennsylvania","",""
"17","Illinois","State",12757634,"Illinois","",""
"39","Ohio","State",11774683,"Ohio","",""
"13","Georgia","State",10722325,"Georgia","",""
"37","North Carolina","State",10470214,"North Carolina","",""
"26","Michigan","State",10057921,"Michigan","",""
"06037","Los Angeles County, CA","County",9936690,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA"
"16980","Chicago-Naperville-Elgin, IL-IN-WI","Metro",9566955,"","","Chicago-Naperville-Elgin, IL-IN-WI"
"34","New Jersey","State",9249063,"New Jersey","",""
"51","Virginia","State",8624511,"Virginia","",""
"3651000","New York City, NY","City",8622467,"New York","New York County","New York-Newark-Jersey City, NY-NJ-PA"
"53","Washington","State",7688549,"Washington","",""
"19100","Dallas-Fort Worth-Arlington, TX","Metro",7673379,"","","Dallas-Fort Worth-Arlington, TX"
"04","Arizona","State",7172282,"Arizona","",""
"26420","Houston-The Woodlands-Sugar Land, TX","Metro",7142603,"","","Houston-The Woodlands-Sugar Land, TX"
"25","Massachusetts","State",6984205,"Massachusetts","",""
"47","Tennessee","State",6923772,"Tennessee","",""
"18","Indiana","State",6784403,"Indiana","",""
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","Metro",6346083,"","","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Metro",6232894,"","","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"24","Maryland","State",6161707,"Maryland","",""
"29","Missouri","State",6154422,"Missouri","",""
"33100","Miami-Fort Lauderdale-Pompano Beach, FL","Metro",6123949,"","","Miami-Fort Lauderdale-Pompano Beach, FL"
"12060","Atlanta-Sandy Springs-Alpharetta, GA","Metro",6094752,"","","Atlanta-Sandy Springs-Alpharetta, GA"
"55","Wisconsin","State",5882128,"Wisconsin","",""
"08","Colorado","State",5770790,"Colorado","",""
"27","Minnesota","State",5695292,"Minnesota","",""
"17031","Cook County, IL","County",5225367,"Illinois","Cook County","Chicago-Naperville-Elgin, IL-IN-WI"
"45","South Carolina","State",5142750,"South Carolina","",""
"01","Alabama","State",5028092,"Alabama","",""
"14460","Boston-Cambridge-Newton, MA-NH","Metro",4912449,"","","Boston-Cambridge-Newton, MA-NH"
"38060","Phoenix-Mesa-Chandler, AZ","Metro",4864209,"","","Phoenix-Mesa-Chandler, AZ"
"48201","Harris County, TX","County",4726177,"Texas","Harris County","Houston-The Woodlands-Sugar Land, TX"
"41860","San Francisco-Oakland-Berkeley, CA","Metro",4692242,"","","San Francisco-Oakland-Berkeley, CA"
"22","Louisiana","State",4640546,"Louisiana","",""
"40140","Riverside-San Bernardino-Ontario, CA","Metro",4610050,"","","Riverside-San Bernardino-Ontario, CA"
"21","Kentucky","State",4502935,"Kentucky","",""
"04013","Maricopa County, AZ","County",4430871,"Arizona","Maricopa County","Phoenix-Mesa-Chandler, AZ"
"19820","Detroit-Warren-Dearborn, MI","Metro",4375604,"","","Detroit-Warren-Dearborn, MI"
"41","Oregon","State",4229374,"Oregon","",""
"42660","Seattle-Tacoma-Bellevue, WA","Metro",4001701,"","","Seattle-Tacoma-Bellevue, WA"
"40","Oklahoma","State",3970497,"Oklahoma","",""
"0644000","Los Angeles, CA","City",3881041,"California","Los Angeles County","Los Angeles-Long Beach-Anaheim, CA"
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","Metro",3678328,"","","Minneapolis-St. Paul-Bloomington, MN-WI"
"09","Connecticut","State",3611317,"Connecticut","",""
"41740","San Diego-Chula Vista-Carlsbad, CA","Metro",3289701,"","","San Diego-Chula Vista-Carlsbad, CA"
"06073","San Diego County, CA","County",3289701,"California","San Diego County","San Diego-Chula Vista-Carlsbad, CA"
"49","Utah","State",3283809,"Utah","",""
"45300","Tampa-St. Petersburg-Clearwater, FL","Metro",3194310,"","","Tampa-St. Petersburg-Clearwater, FL"
"19","Iowa","State",3188836,"Iowa","",""
"06059","Orange County, CA","County",3175227,"California","Orange County","Los Angeles-Long Beach-Anaheim, CA"
"32","Nevada","State",3104817,"Nevada","",""
"05","Arkansas","State",3018669,"Arkansas","",""
"19740","Denver-Aurora-Lakewood, CO","Metro",2959386,"","","Denver-Aurora-Lakewood, CO"
"28","Mississippi","State",2958846,"Mississippi","",""
"20","Kansas","State",2935922,"Kansas","",""
"12580","Baltimore-Columbia-Towson, MD","Metro",2840005,"","","Baltimore-Columbia-Towson, MD"
"41180","St. Louis, MO-IL","Metro",2813523,"","","St. Louis, MO-IL"
"1714000","Chicago, IL","City",2721914,"Illinois","Cook County","Chicago-Naperville-Elgin, IL-IN-WI"
"12086","Miami-Dade County, FL","County",2688237,"Florida","Miami-Dade County","Miami-Fort Lauderdale-Pompano Beach, FL"
"36047","Kings County, NY","County",2679620,"New York","Kings County","New York-Newark-Jersey City, NY-NJ-PA"
"36740","Orlando-Kissimmee-Sanford, FL","Metro",2679298,"","","Orlando-Kissimmee-Sanford, FL"
"16740","Charlotte-Concord-Gastonia, NC-SC","Metro",2668688,"","","Charlotte-Concord-Gastonia, NC-SC"
"48113","Dallas County, TX","County",2604053,"Texas","Dallas County","Dallas-Fort Worth-Arlington, TX"
"41700","San Antonio-New Braunfels, TX","Metro",2570862,"","","San Antonio-New Braunfels, TX"
"38900","Portland-Vancouver-Hillsboro, OR-WA","Metro",2505312,"","","Portland-Vancouver-Hillsboro, OR-WA"
"06065","Riverside County, CA","County",2429487,"California","Riverside County","Riverside-San Bernardino-Ontario, CA"
"40900","Sacramento-Roseville-Folsom, CA","Metro",2394673,"","","Sacramento-Roseville-Folsom, CA"
"38300","Pittsburgh, PA","Metro",2365501,"","","Pittsburgh, PA"
"12420","Austin-Round Rock-Georgetown, TX","Metro",2296377,"","","Austin-Round Rock-Georgetown, TX"
"4835000","Houston, TX","City",2296253,"Texas","Harris County","Houston-The Woodlands-Sugar Land, TX"
"29820","Las Vegas-Henderson-Paradise, NV","Metro",2265926,"","","Las Vegas-Henderson-Paradise, NV"
"32003","Clark County, NV","County",2265926,"Nevada","Clark County","Las Vegas-Henderson-Paradise, NV"
"53033","King County, WA","County",2254371,"Washington","King County","Seattle-Tacoma-Bellevue, WA"
"17140","Cincinnati, OH-KY-IN","Metro",2253528,"","","Cincinnati, OH-KY-IN"
"28140","Kansas City, MO-KS","Metro",2190750,"","","Kansas City, MO-KS"
"06071","San Bernardino County, CA","County",2180563,"California","San Bernardino County","Riverside-San Bernardino-Ontario, CA"
"18140","Columbus, OH","Metro",2137223,"","","Columbus, OH"
"48439","Tarrant County, TX","County",2113854,"Texas","Tarrant County","Dallas-Fort Worth-Arlington, TX"
"35","New Mexico","State",2112463,"New Mexico","",""
"26900","Indianapolis-Carmel-Anderson, IN","Metro",2109957,"","","Indianapolis-Carmel-Anderson, IN"
"17460","Cleveland-Elyria, OH","Metro",2079759,"","","Cleveland-Elyria, OH"
"48029","Bexar County, TX","County",2014059,"Texas","Bexar County","San Antonio-New Braunfels, TX"
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","Metro",1990873,"","","Nashville-Davidson--Murfreesboro--Franklin, TN"
"41940","San Jose-Sunnyvale-Santa Clara, CA","Metro",1981584,"","","San Jose-Sunnyvale-Santa Clara, CA"
"31","Nebraska","State",1958939,"Nebraska","",""
"12011","Broward County, FL","County",1940907,"Florida","Broward County","Miami-Fort Lauderdale-Pompano Beach, FL"
"06085","Santa Clara County, CA","County",1916831,"California","Santa Clara County","San Jose-Sunnyvale-Santa Clara, CA"
"16","Idaho","State",1854109,"Idaho","",""
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","Metro",1798025,"","","Virginia Beach-Norfolk-Newport News, VA-NC"
"54","West Virginia","State",1792967,"West Virginia","",""
"26163","Wayne County, MI","County",1781641,"Michigan","Wayne County","Detroit-Warren-Dearborn, MI"
"39300","Providence-Warwick, RI-MA","Metro",1670949,"","","Providence-Warwick, RI-MA"
"06001","Alameda County, CA","County",1663823,"California","Alameda County","San Francisco-Oakland-Berkeley, CA"
"36061","New York County, NY","County",1645867,"New York","New York County","New York-Newark-Jersey City, NY-NJ-PA"
"25017","Middlesex County, MA","County",1623109,"Massachusetts","Middlesex County","Boston-Cambridge-Newton, MA-NH"
"27260","Jacksonville, FL","Metro",1613587,"","","Jacksonville, FL"
